collection_name,timestamp,target_name,target_type,metric_name,metric_column,value
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/emgc,j2ee_application,deployment_app_ejb_pool,ejbPoolAvailable.active,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_ejb_pool,name,JamConsServiceBean
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_ejb_pool,ejbModuleName,jammanager.jar
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_ejb_pool,ejbPoolAccess.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_ejb_pool,ejbPoolAccessSuccess.percentage,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_ejb_pool,ejbPoolAvailable.active,1
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_ejb_pool,ejbPoolDestroy.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_ejb_pool,ejbPoolFailed.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_ejb_pool,ejbPoolUsed.active,0
service_12pdb,2025-12-25T14:47:05.267+05:30,mitestdb_CDBROOT,oracle_pdb,service,instance,mitestdb
service_12pdb,2025-12-25T14:47:05.267+05:30,mitestdb_CDBROOT,oracle_pdb,service,name,mitestdb
service_12pdb,2025-12-25T14:47:05.267+05:30,mitestdb_CDBROOT,oracle_pdb,service,elapsed_cs,0
service_12pdb,2025-12-25T14:47:05.267+05:30,mitestdb_CDBROOT,oracle_pdb,service,cpu_cs,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_module_ejb_pool,ejbModuleName,jammanager.jar
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_module_ejb_pool,ejbPoolAccess.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_module_ejb_pool,ejbPoolUsed.active,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_module_ejb_pool,ejbPoolDestroy.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_module_ejb_pool,ejbPoolFailed.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_module_ejb_pool,ejbPoolAccessSuccess.percentage,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/jvmdengine(13.5.1.0.0),j2ee_application,deployment_module_ejb_pool,ejbPoolAvailable.active,1
ejb_cache_metrics,2025-12-25T14:47:08.928+05:30,/EMGC_GCDomain/GCDomain/EMGC_ADMINSERVER,weblogic_j2eeserver,server_ejb_cache,ejbCacheActivation.throughput,0
ejb_cache_metrics,2025-12-25T14:47:08.928+05:30,/EMGC_GCDomain/GCDomain/EMGC_ADMINSERVER,weblogic_j2eeserver,server_ejb_cache,ejbCacheAccess.throughput,0
ejb_cache_metrics,2025-12-25T14:47:08.928+05:30,/EMGC_GCDomain/GCDomain/EMGC_ADMINSERVER,weblogic_j2eeserver,server_ejb_cache,ejbCache.active,0
ejb_cache_metrics,2025-12-25T14:47:08.928+05:30,/EMGC_GCDomain/GCDomain/EMGC_ADMINSERVER,weblogic_j2eeserver,server_ejb_cache,ejbCacheMiss.throughput,0
